votu,taxa,consensus_domain,sub_domain_consensus
4Wh2oV_0h_scaffold_1679452,"Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae",Bacteria,Gammaproteobacteria
4Wh2oV_0h_scaffold_1679482,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium aquilae",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1679670,"Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,unclassified Brevundimonas",Bacteria,Alphaproteobacteria
4Wh2oV_0h_scaffold_1679759,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1679776,"Bacteria,Terrabacteria group,Actinobacteria,Thermoleophilia,Miltoncostaeales,Miltoncostaeaceae,Miltoncostaea",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1679982,"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,unclassified Sphingorhabdus",Bacteria,Alphaproteobacteria
4Wh2oV_0h_scaffold_1680052,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1680193,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,unclassified Bradyrhizobium",Bacteria,Alphaproteobacteria
4Wh2oV_0h_scaffold_1680270,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes teichomyceticus",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1680312,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Geodermatophilales",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1681349,"Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter",Bacteria,Alphaproteobacteria
4Wh2oV_0h_scaffold_1681945,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium",Bacteria,Alphaproteobacteria
4Wh2oV_0h_scaffold_1682005,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1682274,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae",Bacteria,Actinobacteria
